time	experiment	replicate	acetate
0	btri	A	1.525397626
4	btri	A	1.887513623
8	btri	A	3.726238293
12	btri	A	7.007217061
16	btri	A	10.78995686
24	btri	A	12.74928877
28	btri	A	13.00658031
32	btri	A	12.67230766
38	btri	A	13.31632145
48	btri	A	13.17652443
62	btri	A	13.17966895
72	btri	A	13.0597541
96	btri	A	13.06239447
120	btri	A	13.08599133
0	btri	B	1.592749284
4	btri	B	1.935006667
8	btri	B	3.640880705
12	btri	B	6.888606126
16	btri	B	10.7289299
24	btri	B	13.23899786
28	btri	B	13.20855995
32	btri	B	13.29178707
38	btri	B	12.76242174
48	btri	B	13.14078665
62	btri	B	13.16537652
72	btri	B	13.18210747
96	btri	B	13.08774105
120	btri	B	13.07581252
0	btri	C	1.714871503
4	btri	C	1.900601508
8	btri	C	3.78613306
12	btri	C	7.052154997
16	btri	C	10.73300716
24	btri	C	12.75960821
28	btri	C	12.82540507
32	btri	C	13.4873265
38	btri	C	13.16870472
48	btri	C	13.1710227
62	btri	C	13.11818088
72	btri	C	13.14633238
96	btri	C	13.10805563
120	btri	C	13.09048187
0	bhbtri	A	1.921824312
4	bhbtri	A	2.114406243
8	bhbtri	A	3.364609354
12	bhbtri	A	6.771369428
16	bhbtri	A	10.48888589
20	bhbtri	A	12.38933015
24	bhbtri	A	13.00203524
28	bhbtri	A	13.22976518
32	bhbtri	A	13.34589455
36	bhbtri	A	13.32292716
40	bhbtri	A	13.9235815
44	bhbtri	A	13.23004356
48	bhbtri	A	13.33258747
60	bhbtri	A	13.49434548
72	bhbtri	A	13.28324796
96	bhbtri	A	13.11986076
120	bhbtri	A	12.95630998
0	bhbtri	B	1.917643967
4	bhbtri	B	2.084107289
8	bhbtri	B	3.315212685
12	bhbtri	B	6.700302359
16	bhbtri	B	10.52588837
20	bhbtri	B	12.06205615
24	bhbtri	B	12.98610789
28	bhbtri	B	13.31314057
32	bhbtri	B	13.3256565
36	bhbtri	B	13.32084069
40	bhbtri	B	13.28303558
44	bhbtri	B	13.28371098
48	bhbtri	B	13.2515731
60	bhbtri	B	13.16934855
72	bhbtri	B	13.11177224
96	bhbtri	B	13.05842243
120	bhbtri	B	12.93819571
0	bt	A	1.815155365
4	bt	A	1.928799374
6	bt	A	2.46083511
8	bt	A	3.835407813
10	bt	A	5.418841171
12	bt	A	7.91274612
14	bt	A	9.168349264
16	bt	A	10.24260258
48	bt	A	11.65522014
0	bt	B	1.878287318
4	bt	B	2.083556085
6	bt	B	2.395552022
8	bt	B	3.695806801
10	bt	B	5.472412576
12	bt	B	7.748494471
14	bt	B	9.186170819
16	bt	B	10.92549291
48	bt	B	12.01058333
0	bt	C	1.86331496
4	bt	C	1.976949477
6	bt	C	2.429732565
8	bt	C	3.743090322
10	bt	C	5.285559515
12	bt	C	7.779613502
14	bt	C	9.193286319
16	bt	C	11.07179328
48	bt	C	10.08595401
0	bt	D	1.871059249
4	bt	D	1.98636132
6	bt	D	2.381118697
8	bt	D	3.591042263
10	bt	D	5.589541064
12	bt	D	7.765297242
14	bt	D	9.584940218
16	bt	D	10.46566592
48	bt	D	11.4603457
0	bt	E	1.802223573
4	bt	E	1.92628805
6	bt	E	2.442471192
8	bt	E	3.711935822
10	bt	E	5.747071205
12	bt	E	7.859071971
14	bt	E	9.784252648
16	bt	E	9.95719976
48	bt	E	12.56330064
0	bt	F	1.771822254
4	bt	F	1.956546327
6	bt	F	2.456576634
8	bt	F	3.891417105
10	bt	F	5.594511923
12	bt	F	7.329060314
14	bt	F	9.933339772
16	bt	F	9.917094851
48	bt	F	11.62430593
0	bhbt	A	2.350131663
4	bhbt	A	2.668540103
8	bhbt	A	4.160890901
12	bhbt	A	7.412815562
16	bhbt	A	11.14591786
20	bhbt	A	12.73828532
24	bhbt	A	13.05097583
28	bhbt	A	13.33730474
32	bhbt	A	13.54748195
36	bhbt	A	13.3660972
40	bhbt	A	13.22412091
44	bhbt	A	13.30890068
48	bhbt	A	13.26399335
60	bhbt	A	13.2234876
72	bhbt	A	12.9241656
96	bhbt	A	12.5487662
120	bhbt	A	12.27057285
0	bhbt	B	2.372911066
4	bhbt	B	2.673368821
8	bhbt	B	4.113512537
12	bhbt	B	7.296623531
16	bhbt	B	11.08727775
20	bhbt	B	12.60030881
24	bhbt	B	13.0942157
28	bhbt	B	13.33441659
32	bhbt	B	13.53210946
36	bhbt	B	13.34334219
40	bhbt	B	13.2775329
44	bhbt	B	13.51396935
48	bhbt	B	13.23216064
60	bhbt	B	13.33909655
72	bhbt	B	12.88604096
96	bhbt	B	12.49769683
120	bhbt	B	12.26647092
0	bhbt	C	2.449022579
4	bhbt	C	2.509717349
8	bhbt	C	4.202022783
12	bhbt	C	7.456339083
16	bhbt	C	11.13676936
20	bhbt	C	12.72281141
24	bhbt	C	13.28703536
28	bhbt	C	13.23530995
32	bhbt	C	13.41538313
36	bhbt	C	13.23804503
40	bhbt	C	13.14860252
44	bhbt	C	13.10747781
48	bhbt	C	13.36194149
60	bhbt	C	13.19825467
72	bhbt	C	12.89788431
96	bhbt	C	12.52164475
120	bhbt	C	12.30188094
