time	experiment	replicate	dead
0	btri	A	0.00036
4	btri	A	0.00045
8	btri	A	0.03095
12	btri	A	0.069
16	btri	A	0.09355
24	btri	A	0.1345
28	btri	A	0.1535
32	btri	A	0.26695
38	btri	A	5.69495
48	btri	A	7.8415
62	btri	A	7.698
72	btri	A	10.7419
96	btri	A	9.90175
120	btri	A	9.958
0	btri	B	0.00031
4	btri	B	0.00037
8	btri	B	0.0179
12	btri	B	0.0729
16	btri	B	0.08555
24	btri	B	0.13375
28	btri	B	0.15615
32	btri	B	0.3539
38	btri	B	4.4036
48	btri	B	9.84625
62	btri	B	8.87645
72	btri	B	11.3379
96	btri	B	11.1594
120	btri	B	10.0259
0	btri	C	0.00047
4	btri	C	0.00044
8	btri	C	0.01385
12	btri	C	0.06505
16	btri	C	0.0717
24	btri	C	0.1155
28	btri	C	0.11295
32	btri	C	0.20225
38	btri	C	3.47055
48	btri	C	7.677
62	btri	C	7.0768
72	btri	C	9.5652
96	btri	C	9.25835
120	btri	C	9.5501
0	bhbt	A	0.0005
4	bhbt	A	0.00017
8	bhbt	A	0.0167
12	bhbt	A	0.11355
16	bhbt	A	0.1113
20	bhbt	A	0.13805
24	bhbt	A	0.15445
28	bhbt	A	0.15075
32	bhbt	A	0.8947
36	bhbt	A	3.338
40	bhbt	A	8.4737
44	bhbt	A	10.3602
48	bhbt	A	9.81905
60	bhbt	A	9.9878
72	bhbt	A	10.04875
96	bhbt	A	9.3581
120	bhbt	A	9.42285
0	bhbt	B	0.00052
4	bhbt	B	0.00044
8	bhbt	B	0.0107
12	bhbt	B	0.14015
16	bhbt	B	0.1172
20	bhbt	B	0.1152
24	bhbt	B	0.16525
28	bhbt	B	0.1671
32	bhbt	B	0.603
36	bhbt	B	5.74
40	bhbt	B	7.6662
44	bhbt	B	9.1366
48	bhbt	B	9.21435
60	bhbt	B	10.73555
72	bhbt	B	10.13835
96	bhbt	B	8.6499
120	bhbt	B	9.07785
0	bhbt	C	0.00047
4	bhbt	C	0.00025
8	bhbt	C	0.0098
12	bhbt	C	0.11865
16	bhbt	C	0.1513
20	bhbt	C	0.16195
24	bhbt	C	0.17865
28	bhbt	C	0.16865
32	bhbt	C	1.28745
36	bhbt	C	6.24435
40	bhbt	C	5.68415
44	bhbt	C	10.31265
48	bhbt	C	9.32725
60	bhbt	C	9.3703
72	bhbt	C	9.7726
96	bhbt	C	10.0422
120	bhbt	C	9.43255
0	bhbtri	A	0.00025
4	bhbtri	A	0.00054
8	bhbtri	A	0.0132
12	bhbtri	A	0.0358
16	bhbtri	A	0.0208
20	bhbtri	A	0.0099
24	bhbtri	A	0.0007
28	bhbtri	A	0.0079
32	bhbtri	A	0.0222
36	bhbtri	A	1.3538
40	bhbtri	A	1.567
44	bhbtri	A	2.0552
48	bhbtri	A	4.8565
60	bhbtri	A	5.7308
72	bhbtri	A	7.4602
96	bhbtri	A	8.2626
120	bhbtri	A	10.4106
0	bhbtri	B	0.00028
4	bhbtri	B	0.00023
8	bhbtri	B	0.009
12	bhbtri	B	0.0379
16	bhbtri	B	0.0152
20	bhbtri	B	0.0052
24	bhbtri	B	0.0014
28	bhbtri	B	0.0028
32	bhbtri	B	0.0095
36	bhbtri	B	1.4148
40	bhbtri	B	1.6364
44	bhbtri	B	2.8426
48	bhbtri	B	4.7907
60	bhbtri	B	6.8501
72	bhbtri	B	7.0258
96	bhbtri	B	9.4069
120	bhbtri	B	9.4049
