time	experiment	replicate	glucose
0	btri	A	7.49768139
4	btri	A	7.290542586
8	btri	A	5.988714973
12	btri	A	3.082042692
16	btri	A	0.641943586
24	btri	A	0.148614422
28	btri	A	0.138443637
32	btri	A	0.12622614
38	btri	A	0.123113482
48	btri	A	0.225869178
62	btri	A	0.232693535
72	btri	A	0.246065636
96	btri	A	0.245094147
120	btri	A	0.247830973
0	btri	B	7.420025859
4	btri	B	7.477811239
8	btri	B	5.985956683
12	btri	B	3.189218432
16	btri	B	0.7256347
24	btri	B	0.149334374
28	btri	B	0.13291874
32	btri	B	0.12622614
38	btri	B	0.12729353
48	btri	B	0.226818595
62	btri	B	0.23402941
72	btri	B	0.235379639
96	btri	B	0.242856382
120	btri	B	0.251287752
0	btri	C	7.482772389
4	btri	C	7.283859787
8	btri	C	6.024771673
12	btri	C	3.230200998
16	btri	C	0.669529525
24	btri	C	0.139458804
28	btri	C	0.133409037
32	btri	C	0.12622614
38	btri	C	0.229244646
48	btri	C	0.228834461
62	btri	C	0.235808112
72	btri	C	0.234566874
96	btri	C	0.241446896
120	btri	C	0.248597674
0	bhbtri	A	8.940123989
4	bhbtri	A	8.816299043
8	bhbtri	A	7.841775304
12	bhbtri	A	4.499820376
16	bhbtri	A	1.100180295
20	bhbtri	A	0.053412302
24	bhbtri	A	0.140657048
28	bhbtri	A	0.166979136
32	bhbtri	A	0.166925772
36	bhbtri	A	0.16484945
40	bhbtri	A	0.171266987
44	bhbtri	A	0.161215202
48	bhbtri	A	0.156225079
60	bhbtri	A	0.156386532
72	bhbtri	A	0.145924467
96	bhbtri	A	0.143722339
120	bhbtri	A	0.142423897
0	bhbtri	B	8.904974349
4	bhbtri	B	8.838901324
8	bhbtri	B	7.803891708
12	bhbtri	B	4.586729622
16	bhbtri	B	1.062527875
20	bhbtri	B	0.184887278
24	bhbtri	B	0.138347041
28	bhbtri	B	0.166099433
32	bhbtri	B	0.16165974
36	bhbtri	B	0.165939245
40	bhbtri	B	0.165001045
44	bhbtri	B	0.155037728
48	bhbtri	B	0.156059625
60	bhbtri	B	0.152367736
72	bhbtri	B	0.157063804
96	bhbtri	B	0.140014861
120	bhbtri	B	0.139974842
0	bt	A	6.228995815
4	bt	A	6.01411449
6	bt	A	6.037603133
8	bt	A	5.266624037
10	bt	A	3.547478519
12	bt	A	2.251051644
14	bt	A	0.852487122
16	bt	A	0.299498435
48	bt	A	0.087558227
0	bt	B	6.272935622
4	bt	B	6.346605831
6	bt	B	5.673507682
8	bt	B	5.06013888
10	bt	B	3.604702425
12	bt	B	2.216325407
14	bt	B	0.873509903
16	bt	B	0.327468083
48	bt	B	0.091217445
0	bt	C	6.345269877
4	bt	C	6.109525522
6	bt	C	5.842282855
8	bt	C	5.174050989
10	bt	C	3.500800251
12	bt	C	2.239888597
14	bt	C	0.882388041
16	bt	C	0.333940418
48	bt	C	0.073526777
0	bt	D	6.287612236
4	bt	D	6.178168865
6	bt	D	5.697528642
8	bt	D	4.887385655
10	bt	D	3.694104387
12	bt	D	2.211232709
14	bt	D	0.905741191
16	bt	D	0.29502903
48	bt	D	0.087866183
0	bt	E	6.24550484
4	bt	E	6.249915407
6	bt	E	6.041289161
8	bt	E	4.97438248
10	bt	E	3.712244666
12	bt	E	2.166956027
14	bt	E	0.871721008
16	bt	E	0.293425143
48	bt	E	0.095401319
0	bt	F	6.172546404
4	bt	F	6.197919137
6	bt	F	5.945639057
8	bt	F	5.147602689
10	bt	F	3.571496481
12	bt	F	1.974243933
14	bt	F	0.871186361
16	bt	F	0.277350074
48	bt	F	0.087017918
0	bhbt	A	8.543769791
4	bhbt	A	8.489865118
8	bhbt	A	6.90912659
12	bhbt	A	3.972973946
16	bhbt	A	0.603134109
20	bhbt	A	0.107277508
24	bhbt	A	0.07547786
28	bhbt	A	0.081459253
32	bhbt	A	0.080636251
36	bhbt	A	0.080633836
40	bhbt	A	0.08102482
44	bhbt	A	0.083285578
48	bhbt	A	0.079818258
60	bhbt	A	0.082025443
72	bhbt	A	0
96	bhbt	A	0.051804786
120	bhbt	A	0.113677203
0	bhbt	B	8.58899382
4	bhbt	B	8.508526464
8	bhbt	B	7.070314378
12	bhbt	B	4.044673967
16	bhbt	B	0.652858039
20	bhbt	B	0.110723174
24	bhbt	B	0.07890857
28	bhbt	B	0.081747177
32	bhbt	B	0.080822456
36	bhbt	B	0.080861913
40	bhbt	B	0.080618818
44	bhbt	B	0.079567553
48	bhbt	B	0.078762578
60	bhbt	B	0.082351142
72	bhbt	B	0
96	bhbt	B	0.06686609
120	bhbt	B	0.101450694
0	bhbt	C	8.559370493
4	bhbt	C	8.270004966
8	bhbt	C	6.985985781
12	bhbt	C	3.893167265
16	bhbt	C	0.58067753
20	bhbt	C	0.108268321
24	bhbt	C	0.080589312
28	bhbt	C	0.080073768
32	bhbt	C	0.08029041
36	bhbt	C	0.081041226
40	bhbt	C	0.080705356
44	bhbt	C	0.081119087
48	bhbt	C	0.079406648
60	bhbt	C	0
72	bhbt	C	0
96	bhbt	C	0.100476915
120	bhbt	C	0
