time	experiment	replicate	lactate
0	btri	A	0.389139477
4	btri	A	0.359449827
8	btri	A	0.577345471
12	btri	A	1.790815164
16	btri	A	3.590222247
24	btri	A	3.760967917
28	btri	A	4.486181949
32	btri	A	4.529702709
38	btri	A	5.158329929
48	btri	A	4.288012211
62	btri	A	4.279599245
72	btri	A	4.150084591
96	btri	A	4.541175955
120	btri	A	4.233926621
0	btri	B	0.379635616
4	btri	B	0.366999456
8	btri	B	0.55124456
12	btri	B	1.727164298
16	btri	B	3.282604685
24	btri	B	3.538364787
28	btri	B	4.23507571
32	btri	B	4.904081483
38	btri	B	4.694307615
48	btri	B	4.282029529
62	btri	B	4.27146714
72	btri	B	4.251347469
96	btri	B	4.013651643
120	btri	B	4.180875444
0	btri	C	0.383628099
4	btri	C	0.36419631
8	btri	C	0.535247003
12	btri	C	1.763324711
16	btri	C	3.5650121
24	btri	C	3.638264654
28	btri	C	4.60146925
32	btri	C	4.75552964
38	btri	C	4.032116119
48	btri	C	4.294119893
62	btri	C	4.288498335
72	btri	C	4.19553952
96	btri	C	3.950083703
120	btri	C	4.147034525
0	bhbtri	A	0.278633924
4	bhbtri	A	0.27173759
8	bhbtri	A	0.224411254
12	bhbtri	A	0.738382431
16	bhbtri	A	3.774304078
20	bhbtri	A	4.380420817
24	bhbtri	A	4.647981114
28	bhbtri	A	4.557842356
32	bhbtri	A	4.955946595
36	bhbtri	A	4.972565957
40	bhbtri	A	5.355279369
44	bhbtri	A	5.039817236
48	bhbtri	A	5.144478452
60	bhbtri	A	5.376671299
72	bhbtri	A	5.360071305
96	bhbtri	A	5.331032385
120	bhbtri	A	5.448591845
0	bhbtri	B	0.28059712
4	bhbtri	B	0.277979506
8	bhbtri	B	0.220305801
12	bhbtri	B	1.481063584
16	bhbtri	B	3.039438701
20	bhbtri	B	4.678124057
24	bhbtri	B	4.942752745
28	bhbtri	B	4.936026233
32	bhbtri	B	4.701371703
36	bhbtri	B	4.961035058
40	bhbtri	B	5.023849035
44	bhbtri	B	5.006392202
48	bhbtri	B	5.11599846
60	bhbtri	B	5.14606485
72	bhbtri	B	5.299374985
96	bhbtri	B	5.301642058
120	bhbtri	B	4.687028176
0	bt	A	0.450345471
4	bt	A	0.427544294
6	bt	A	0.449398868
8	bt	A	0.506034636
10	bt	A	0.907855351
12	bt	A	2.217562611
14	bt	A	2.842028308
16	bt	A	3.196975133
48	bt	A	2.887550067
0	bt	B	0.465177398
4	bt	B	0.457967029
6	bt	B	0.430716807
8	bt	B	0.50330806
10	bt	B	0.948809836
12	bt	B	2.213000999
14	bt	B	2.891883881
16	bt	B	3.455375666
48	bt	B	3.031244338
0	bt	C	0.463079818
4	bt	C	0.442261101
6	bt	C	0.443083925
8	bt	C	0.516282749
10	bt	C	0.932388433
12	bt	C	2.246200155
14	bt	C	2.897481017
16	bt	C	3.506378108
48	bt	C	2.536793406
0	bt	D	0.455059281
4	bt	D	0.443241452
6	bt	D	0.428102798
8	bt	D	0.485721359
10	bt	D	0.969176177
12	bt	D	2.23050655
14	bt	D	3.014026643
16	bt	D	3.303927842
48	bt	D	2.901610457
0	bt	E	0.437513766
4	bt	E	0.440423512
6	bt	E	0.445311057
8	bt	E	0.499327598
10	bt	E	1.039457371
12	bt	E	2.29001532
14	bt	E	3.10608004
16	bt	E	3.15633548
48	bt	E	3.216520093
0	bt	F	0.43039698
4	bt	F	0.442400311
6	bt	F	0.441498224
8	bt	F	0.538832926
10	bt	F	1.069436057
12	bt	F	2.184918073
14	bt	F	3.205910191
16	bt	F	3.168066496
48	bt	F	3.051931394
0	bhbt	A	0.160879118
4	bhbt	A	0.163156034
8	bhbt	A	0.131580952
12	bhbt	A	3.806021659
16	bhbt	A	5.725588442
20	bhbt	A	6.113431361
24	bhbt	A	6.164048982
28	bhbt	A	6.317888532
32	bhbt	A	6.183904319
36	bhbt	A	6.410194752
40	bhbt	A	6.257237405
44	bhbt	A	6.29831727
48	bhbt	A	6.204071402
60	bhbt	A	6.41964627
72	bhbt	A	6.41964627
96	bhbt	A	6.529427558
120	bhbt	A	6.661186427
0	bhbt	B	0.163557245
4	bhbt	B	0.162943136
8	bhbt	B	0.133846123
12	bhbt	B	3.281903474
16	bhbt	B	4.119774264
20	bhbt	B	5.89635956
24	bhbt	B	5.576103647
28	bhbt	B	6.252535396
32	bhbt	B	6.384247001
36	bhbt	B	6.343265825
40	bhbt	B	5.968349742
44	bhbt	B	6.714810812
48	bhbt	B	6.058251463
60	bhbt	B	6.273879826
72	bhbt	B	6.273879826
96	bhbt	B	6.674840526
120	bhbt	B	6.27926608
0	bhbt	C	0
4	bhbt	C	0.159133187
8	bhbt	C	0.13443997
12	bhbt	C	2.903254976
16	bhbt	C	4.399104803
20	bhbt	C	6.3266377
24	bhbt	C	6.052878001
28	bhbt	C	5.403957342
32	bhbt	C	5.912470261
36	bhbt	C	6.161802661
40	bhbt	C	6.564029229
44	bhbt	C	6.171509202
48	bhbt	C	6.220302466
60	bhbt	C	6.318632294
72	bhbt	C	6.318632294
96	bhbt	C	6.808623824
120	bhbt	C	6.312908169
