time	experiment	replicate	pH
0	bt	A	6.77
4	bt	A	6.64
6	bt	A	6.55
8	bt	A	6.27
10	bt	A	5.68
12	bt	A	5.26
14	bt	A	5.14
16	bt	A	5.05
48	bt	A	5.21
0	bt	B	6.77
4	bt	B	6.63
6	bt	B	6.55
8	bt	B	6.17
10	bt	B	5.6
12	bt	B	5.26
14	bt	B	5.13
16	bt	B	5.09
48	bt	B	5.2
0	bt	C	6.77
4	bt	C	6.63
6	bt	C	6.55
8	bt	C	6.17
10	bt	C	5.64
12	bt	C	5.25
14	bt	C	5.08
16	bt	C	5.05
48	bt	C	5.25
0	bt	D	6.74
4	bt	D	6.63
6	bt	D	6.51
8	bt	D	6.14
10	bt	D	5.64
12	bt	D	5.26
14	bt	D	5.08
16	bt	D	5.08
48	bt	D	5.21
0	bt	E	6.81
4	bt	E	6.63
6	bt	E	6.52
8	bt	E	6.22
10	bt	E	5.6
12	bt	E	5.22
14	bt	E	5.13
16	bt	E	5.09
48	bt	E	5.21
0	bt	F	6.85
4	bt	F	6.68
6	bt	F	6.56
8	bt	F	6.14
10	bt	F	5.55
12	bt	F	5.22
14	bt	F	5.13
16	bt	F	5.09
48	bt	F	5.24
0	btri	A	6.6
4	btri	A	6.61
8	btri	A	6.15
12	btri	A	5.47
16	btri	A	5.09
24	btri	A	5.04
28	btri	A	4.97
32	btri	A	4.97
38	btri	A	5.01
48	btri	A	5.09
62	btri	A	5.09
72	btri	A	5.09
96	btri	A	5.14
120	btri	A	5.09
0	btri	B	6.6
4	btri	B	6.61
8	btri	B	6.15
12	btri	B	5.42
16	btri	B	5.09
24	btri	B	5.04
28	btri	B	4.97
32	btri	B	4.97
38	btri	B	5.01
48	btri	B	5.14
62	btri	B	5.09
72	btri	B	5.09
96	btri	B	5.14
120	btri	B	5.13
0	btri	C	6.64
4	btri	C	6.65
8	btri	C	6.15
12	btri	C	5.42
16	btri	C	5.04
24	btri	C	5
28	btri	C	4.97
32	btri	C	5.01
38	btri	C	5.05
48	btri	C	5.14
62	btri	C	5.09
72	btri	C	5.09
96	btri	C	5.14
120	btri	C	5.08
0	bhbt	A	6.61
4	bhbt	A	6.61
8	bhbt	A	6.14
12	bhbt	A	5.3
16	bhbt	A	5.01
20	bhbt	A	4.95
24	bhbt	A	5.04
28	bhbt	A	5
32	bhbt	A	5.01
36	bhbt	A	5.04
40	bhbt	A	5.05
44	bhbt	A	5.09
48	bhbt	A	5.08
60	bhbt	A	5.14
72	bhbt	A	5.13
96	bhbt	A	5.13
120	bhbt	A	5.13
0	bhbt	B	6.61
4	bhbt	B	6.61
8	bhbt	B	6.14
12	bhbt	B	5.3
16	bhbt	B	5.01
20	bhbt	B	4.96
24	bhbt	B	4.99
28	bhbt	B	4.95
32	bhbt	B	4.97
36	bhbt	B	5.01
40	bhbt	B	5.01
44	bhbt	B	5.09
48	bhbt	B	5.08
60	bhbt	B	5.14
72	bhbt	B	5.13
96	bhbt	B	5.13
120	bhbt	B	5.09
0	bhbt	C	6.61
4	bhbt	C	6.57
8	bhbt	C	6.14
12	bhbt	C	5.25
16	bhbt	C	5.01
20	bhbt	C	4.96
24	bhbt	C	4.95
28	bhbt	C	4.99
32	bhbt	C	4.97
36	bhbt	C	5.05
40	bhbt	C	5.01
44	bhbt	C	5.05
48	bhbt	C	5.07
60	bhbt	C	5.14
72	bhbt	C	5.13
96	bhbt	C	5.13
120	bhbt	C	5.13
0	bhbtri	A	6.65
4	bhbtri	A	6.57
8	bhbtri	A	6.23
12	bhbtri	A	5.47
16	bhbtri	A	5.04
20	bhbtri	A	4.96
24	bhbtri	A	4.92
28	bhbtri	A	4.95
32	bhbtri	A	4.99
36	bhbtri	A	5.08
40	bhbtri	A	5.09
44	bhbtri	A	5.09
48	bhbtri	A	5.12
60	bhbtri	A	5.09
72	bhbtri	A	5.13
96	bhbtri	A	5.09
120	bhbtri	A	5.12
0	bhbtri	B	6.65
4	bhbtri	B	6.57
8	bhbtri	B	6.23
12	bhbtri	B	5.42
16	bhbtri	B	5.09
20	bhbtri	B	4.92
24	bhbtri	B	4.92
28	bhbtri	B	4.96
32	bhbtri	B	4.99
36	bhbtri	B	5.08
40	bhbtri	B	5.04
44	bhbtri	B	5.04
48	bhbtri	B	5.12
60	bhbtri	B	5.09
72	bhbtri	B	5.13
96	bhbtri	B	5.09
120	bhbtri	B	5.12
