time	experiment	replicate	glucose
0	btri	A	9.746426149
4	btri	A	9.561649085
8	btri	A	9.918530122
12	btri	A	7.616082189
16	btri	A	3.110279898
24	btri	A	0.658999479
28	btri	A	0.600407386
32	btri	A	0.580845004
38	btri	A	0.530941077
48	btri	A	0.592543443
62	btri	A	0.586960349
72	btri	A	0.600303449
96	btri	A	0.582317632
120	btri	A	0.567830675
0	btri	B	9.619099997
4	btri	B	9.783501258
8	btri	B	9.813741087
12	btri	B	7.855971971
16	btri	B	3.322436037
24	btri	B	0.679783052
28	btri	B	0.591380555
32	btri	B	0.582778153
38	btri	B	0.542623867
48	btri	B	0.595156899
62	btri	B	0.604270554
72	btri	B	0.616378985
96	btri	B	0.590738309
120	btri	B	0.566445729
0	btri	C	9.749497703
4	btri	C	9.507806019
8	btri	C	9.861901415
12	btri	C	7.936555249
16	btri	C	3.15386843
24	btri	C	0.601915046
28	btri	C	0.582138279
32	btri	C	0.535377335
38	btri	C	0.593585231
48	btri	C	0.570121166
62	btri	C	0.581021681
72	btri	C	0.579083635
96	btri	C	0.566529424
120	btri	C	0.549187165
0	bhbtri	A	8.303234085
4	bhbtri	A	7.924275493
8	bhbtri	A	7.86673957
12	bhbtri	A	7.761978202
16	bhbtri	A	3.501487353
20	bhbtri	A	0.891504264
24	bhbtri	A	0.662288801
28	bhbtri	A	0.661938223
32	bhbtri	A	0.62194017
36	bhbtri	A	0.59912466
40	bhbtri	A	0.617264995
44	bhbtri	A	0.562525015
48	bhbtri	A	0.552368713
60	bhbtri	A	0.510091023
72	bhbtri	A	0.481193433
96	bhbtri	A	0.444587881
120	bhbtri	A	0.410250458
0	bhbtri	B	8.284467961
4	bhbtri	B	8.256856277
8	bhbtri	B	7.821797792
12	bhbtri	B	7.730205422
16	bhbtri	B	3.48790362
20	bhbtri	B	1.025881039
24	bhbtri	B	0.654651257
28	bhbtri	B	0.661025055
32	bhbtri	B	0.616951671
36	bhbtri	B	0.598986398
40	bhbtri	B	0.584687728
44	bhbtri	B	0.554678386
48	bhbtri	B	0.546209501
60	bhbtri	B	0.498010103
72	bhbtri	B	0.475521244
96	bhbtri	B	0.440640816
120	bhbtri	B	0.406880168
0	bt	A	10.11279321
4	bt	A	9.823544515
6	bt	A	10.01737554
8	bt	A	9.969864524
10	bt	A	8.973315126
12	bt	A	7.598038156
14	bt	A	4.487833523
16	bt	A	2.500939019
48	bt	A	0.246918465
0	bt	B	10.19302521
4	bt	B	10.31192653
6	bt	B	9.49977697
8	bt	B	9.629702248
10	bt	B	9.072467522
12	bt	B	7.424070861
14	bt	B	4.485352373
16	bt	B	2.632104361
48	bt	B	0.254975358
0	bt	C	10.26189484
4	bt	C	9.837836248
6	bt	C	9.676353055
8	bt	C	9.764184306
10	bt	C	8.813649216
12	bt	C	7.421500114
14	bt	C	4.460554622
16	bt	C	2.632476266
48	bt	C	0.216286055
0	bt	D	10.19150761
4	bt	D	10.00436566
6	bt	D	9.509526346
8	bt	D	9.305180332
10	bt	D	9.2444196
12	bt	D	7.364586191
14	bt	D	4.608748808
16	bt	D	2.274846695
48	bt	D	0.246001931
0	bt	E	10.10981865
4	bt	E	9.835344538
6	bt	E	9.979584829
8	bt	E	9.475753009
10	bt	E	9.337341585
12	bt	E	7.173589371
14	bt	E	4.43835226
16	bt	E	2.355322962
48	bt	E	0.274720986
0	bt	F	9.966489325
4	bt	F	9.835456053
6	bt	F	9.823330457
8	bt	F	9.812621622
10	bt	F	8.997083125
12	bt	F	6.528121962
14	bt	F	4.292624233
16	bt	F	2.058637747
48	bt	F	0.262982853
0	bhbt	A	8.619817602
4	bhbt	A	8.486267817
8	bhbt	A	8.418234443
12	bhbt	A	7.23031174
16	bhbt	A	2.84411512
20	bhbt	A	0.867608248
24	bhbt	A	0.709113854
28	bhbt	A	0.690856257
32	bhbt	A	0.657388589
36	bhbt	A	0.620296418
40	bhbt	A	0.604738193
44	bhbt	A	0.584270922
48	bhbt	A	0.564161296
60	bhbt	A	0.547845682
72	bhbt	A	0.323052569
96	bhbt	A	0.308012008
120	bhbt	A	0.297251698
0	bhbt	B	8.536351327
4	bhbt	B	8.427623563
8	bhbt	B	8.424681235
12	bhbt	B	7.361786873
16	bhbt	B	2.965441321
20	bhbt	B	0.893894754
24	bhbt	B	0.73719035
28	bhbt	B	0.709655495
32	bhbt	B	0.675500604
36	bhbt	B	0.644194302
40	bhbt	B	0.623531424
44	bhbt	B	0.604728905
48	bhbt	B	0.587372461
60	bhbt	B	0.561468941
72	bhbt	B	0.328838539
96	bhbt	B	0.31663869
120	bhbt	B	0.298838106
0	bhbt	C	8.46568971
4	bhbt	C	8.657607851
8	bhbt	C	8.390883635
12	bhbt	C	7.164264837
16	bhbt	C	2.817644062
20	bhbt	C	0.863705302
24	bhbt	C	0.721553226
28	bhbt	C	0.668945888
32	bhbt	C	0.647588216
36	bhbt	C	0.616202005
40	bhbt	C	0.598024215
44	bhbt	C	0.576320508
48	bhbt	C	0.564443424
60	bhbt	C	0.292364131
72	bhbt	C	0.318603641
96	bhbt	C	0.306421107
120	bhbt	C	0.293190677
