time	experiment	replicate	succinate
0	btri	A	0.567466142
4	btri	A	0.603336081
8	btri	A	2.196317639
12	btri	A	4.980483445
16	btri	A	7.62916208
24	btri	A	9.633861546
28	btri	A	10.32170006
32	btri	A	9.897771446
38	btri	A	10.5366407
48	btri	A	10.80272453
62	btri	A	10.99144661
72	btri	A	10.9245876
96	btri	A	11.62041816
120	btri	A	11.11845177
0	btri	B	0.560337455
4	btri	B	0.610056449
8	btri	B	2.151089254
12	btri	B	4.970388771
16	btri	B	7.222143619
24	btri	B	9.570090101
28	btri	B	10.12067703
32	btri	B	10.89158286
38	btri	B	10.02602007
48	btri	B	10.83897002
62	btri	B	10.96453891
72	btri	B	11.02454814
96	btri	B	11.02089771
120	btri	B	11.0185478
0	btri	C	0.56562329
4	btri	C	0.530515444
8	btri	C	2.185102125
12	btri	C	5.042207892
16	btri	C	7.673605724
24	btri	C	9.580643069
28	btri	C	10.66070158
32	btri	C	10.6674207
38	btri	C	10.69046939
48	btri	C	10.98874494
62	btri	C	11.05584639
72	btri	C	10.94038818
96	btri	C	10.99542002
120	btri	C	11.03388975
0	bhbtri	A	0.453993082
4	bhbtri	A	0.473523686
8	bhbtri	A	1.304456455
12	bhbtri	A	3.908391084
16	bhbtri	A	7.622069172
20	bhbtri	A	7.466965028
24	bhbtri	A	9.711336987
28	bhbtri	A	10.39282839
32	bhbtri	A	10.6470687
36	bhbtri	A	10.71119456
40	bhbtri	A	11.4023455
44	bhbtri	A	10.78235365
48	bhbtri	A	10.68528837
60	bhbtri	A	11.04488254
72	bhbtri	A	10.78371204
96	bhbtri	A	10.75682947
120	bhbtri	A	10.61920849
0	bhbtri	B	0.461311006
4	bhbtri	B	0.477261657
8	bhbtri	B	1.272945722
12	bhbtri	B	4.601268594
16	bhbtri	B	7.184070329
20	bhbtri	B	8.807357196
24	bhbtri	B	9.978293522
28	bhbtri	B	10.45813044
32	bhbtri	B	10.67182635
36	bhbtri	B	10.72949452
40	bhbtri	B	10.77760117
44	bhbtri	B	10.75842033
48	bhbtri	B	10.83385314
60	bhbtri	B	10.76930631
72	bhbtri	B	10.70931091
96	bhbtri	B	10.75916047
120	bhbtri	B	10.51790593
0	bt	A	0.441342451
4	bt	A	0.484765094
6	bt	A	0.758531374
8	bt	A	1.582095944
10	bt	A	2.829020493
12	bt	A	4.467428741
14	bt	A	5.1364848
16	bt	A	5.702596494
48	bt	A	7.136056059
0	bt	B	0.458878652
4	bt	B	0.522625032
6	bt	B	0.724914641
8	bt	B	1.540149039
10	bt	B	2.867854348
12	bt	B	4.346692438
14	bt	B	5.156255229
16	bt	B	6.106989245
48	bt	B	7.362439919
0	bt	C	0.451341011
4	bt	C	0.499572699
6	bt	C	0.74553908
8	bt	C	1.571558642
10	bt	C	2.800632822
12	bt	C	4.376495978
14	bt	C	5.167456686
16	bt	C	6.188182403
48	bt	C	6.143106614
0	bt	D	0.451092133
4	bt	D	0.505640613
6	bt	D	0.716086036
8	bt	D	1.478605301
10	bt	D	2.922572953
12	bt	D	4.353445423
14	bt	D	5.393515962
16	bt	D	5.842322889
48	bt	D	7.058257007
0	bt	E	0.440462698
4	bt	E	0.512093911
6	bt	E	0.780629943
8	bt	E	1.560420442
10	bt	E	3.064819798
12	bt	E	4.423175459
14	bt	E	5.546363282
16	bt	E	5.563103142
48	bt	E	7.834331273
0	bt	F	0.430183843
4	bt	F	0.515269794
6	bt	F	0.789067745
8	bt	F	1.663407825
10	bt	F	3.024292658
12	bt	F	4.117480566
14	bt	F	5.597062325
16	bt	F	5.507539842
48	bt	F	7.232131086
0	bhbt	A	0.351539555
4	bhbt	A	0.398512785
8	bhbt	A	1.463258555
12	bhbt	A	5.221112473
16	bhbt	A	7.651449879
20	bhbt	A	8.962416731
24	bhbt	A	9.768721788
28	bhbt	A	10.33406321
32	bhbt	A	10.36450009
36	bhbt	A	10.3589327
40	bhbt	A	10.02697319
44	bhbt	A	10.50031345
48	bhbt	A	10.27894783
60	bhbt	A	10.55967803
72	bhbt	A	11.0699144
96	bhbt	A	10.92326249
120	bhbt	A	10.79245593
0	bhbt	B	0.349829667
4	bhbt	B	0.400339302
8	bhbt	B	1.447998331
12	bhbt	B	4.877943407
16	bhbt	B	7.122969115
20	bhbt	B	8.812043708
24	bhbt	B	9.529484725
28	bhbt	B	10.08886732
32	bhbt	B	10.47853521
36	bhbt	B	9.952716562
40	bhbt	B	10.27987333
44	bhbt	B	10.51153871
48	bhbt	B	10.3047868
60	bhbt	B	10.43800275
72	bhbt	B	11.0559805
96	bhbt	B	10.98840446
120	bhbt	B	10.5019823
0	bhbt	C	0.35215969
4	bhbt	C	0.403545532
8	bhbt	C	1.492288983
12	bhbt	C	5.026427436
16	bhbt	C	7.194054692
20	bhbt	C	9.273289764
24	bhbt	C	9.759019532
28	bhbt	C	9.907527751
32	bhbt	C	10.30125511
36	bhbt	C	10.08485246
40	bhbt	C	10.68627481
44	bhbt	C	10.22043397
48	bhbt	C	10.49639849
60	bhbt	C	10.49792777
72	bhbt	C	11.13403543
96	bhbt	C	10.46171638
120	bhbt	C	10.6484814
