time	experiment	replicate	acetate
0	btri	A	1.707691205
4	btri	A	1.884801505
8	btri	A	2.839448524
12	btri	A	5.055125603
16	btri	A	5.965085808
24	btri	A	6.187081069
28	btri	A	6.42012905
32	btri	A	5.885853206
38	btri	A	6.703032176
48	btri	A	6.666918908
62	btri	A	6.520099551
72	btri	A	6.373443782
96	btri	A	6.13265885
120	btri	A	6.013632727
0	btri	B	1.708219877
4	btri	B	1.863922857
8	btri	B	3.086516291
12	btri	B	5.409095797
16	btri	B	6.341442698
24	btri	B	6.327017768
28	btri	B	6.740803806
32	btri	B	6.949469985
38	btri	B	6.800850681
48	btri	B	6.779100161
62	btri	B	6.537820638
72	btri	B	6.409414508
96	btri	B	6.142847231
120	btri	B	5.57077919
0	btri	C	1.744699304
4	btri	C	1.851085616
8	btri	C	2.892628048
12	btri	C	4.992988435
16	btri	C	6.236304822
24	btri	C	6.231519153
28	btri	C	6.376911658
32	btri	C	6.594358979
38	btri	C	6.806656623
48	btri	C	6.825017713
62	btri	C	6.61231062
72	btri	C	6.51518282
96	btri	C	6.304178574
120	btri	C	6.081257271
0	bhri	A	2.143874342
4	bhri	A	2.244561379
8	bhri	A	3.160829292
12	bhri	A	5.498763119
16	bhri	A	6.558089777
20	bhri	A	6.308380684
24	bhri	A	6.197571275
28	bhri	A	5.979711636
32	bhri	A	5.863293834
36	bhri	A	5.698978204
48	bhri	A	5.259805877
60	bhri	A	4.917760872
72	bhri	A	4.688396015
96	bhri	A	4.350774585
120	bhri	A	4.118596204
0	bhri	B	2.036395769
4	bhri	B	2.232745009
8	bhri	B	3.495919412
12	bhri	B	6.160376987
16	bhri	B	6.932645763
20	bhri	B	6.742679807
24	bhri	B	6.550186846
28	bhri	B	6.353390847
32	bhri	B	6.096175835
36	bhri	B	5.931262774
48	bhri	B	5.458137308
60	bhri	B	5.132181813
72	bhri	B	4.896914392
96	bhri	B	4.545158376
120	bhri	B	4.347764468
0	bhri	C	2.085680987
4	bhri	C	2.195290032
8	bhri	C	3.265377868
12	bhri	C	5.618472772
16	bhri	C	6.720697298
20	bhri	C	6.455245482
24	bhri	C	6.258966078
28	bhri	C	6.148182977
32	bhri	C	5.907423396
36	bhri	C	5.794692067
48	bhri	C	5.36984757
60	bhri	C	5.023354116
72	bhri	C	4.778985074
96	bhri	C	4.449150342
120	bhri	C	4.231538476
0	bhbtri	A	1.95028302
4	bhbtri	A	2.171307396
8	bhbtri	A	2.681304757
12	bhbtri	A	4.044883983
16	bhbtri	A	5.666961814
20	bhbtri	A	6.395754902
24	bhbtri	A	6.546286561
28	bhbtri	A	6.444603646
32	bhbtri	A	6.373733649
36	bhbtri	A	6.20785867
40	bhbtri	A	6.418396546
44	bhbtri	A	6.097412791
48	bhbtri	A	6.078283507
60	bhbtri	A	7.065028232
72	bhbtri	A	5.481318506
96	bhbtri	A	4.954729868
120	bhbtri	A	4.772909833
0	bhbtri	B	1.933030216
4	bhbtri	B	2.034142367
8	bhbtri	B	2.758550864
12	bhbtri	B	4.18356268
16	bhbtri	B	5.916234194
20	bhbtri	B	6.697091823
24	bhbtri	B	6.700839521
28	bhbtri	B	6.593250215
32	bhbtri	B	6.529707721
36	bhbtri	B	6.448002643
40	bhbtri	B	6.314177538
44	bhbtri	B	6.272474054
48	bhbtri	B	6.240130009
60	bhbtri	B	6.04025071
72	bhbtri	B	5.77081251
96	bhbtri	B	5.292445529
120	bhbtri	B	4.973790751
0	ri	A	2.11016228
6	ri	A	2.339349199
10	ri	A	3.295986301
13	ri	A	5.076181112
17	ri	A	5.109056579
21	ri	A	4.920853739
25	ri	A	4.666188214
29	ri	A	4.628102323
33	ri	A	4.555549568
38	ri	A	4.22435495
41	ri	A	4.138005309
48	ri	A	3.797380459
72	ri	A	3.036863239
0	ri	B	2.133360459
6	ri	B	2.341784844
10	ri	B	3.341928486
13	ri	B	5.092742733
17	ri	B	5.109056579
21	ri	B	4.901863649
25	ri	B	4.762862081
29	ri	B	4.641154931
33	ri	B	4.566432481
38	ri	B	4.356682411
41	ri	B	4.206638646
48	ri	B	3.885529329
72	ri	B	3.080465684
0	ri	C	2.152351506
6	ri	C	2.311864247
10	ri	C	3.327735784
13	ri	C	5.039805243
17	ri	C	5.179218652
21	ri	C	5.020969174
25	ri	C	4.913270331
29	ri	C	4.710353651
33	ri	C	4.714738003
38	ri	C	4.494922003
41	ri	C	4.357486002
48	ri	C	4.074489123
72	ri	C	3.191088306
0	ri	D	2.107076349
6	ri	D	2.231554212
10	ri	D	3.228045822
13	ri	D	4.920494993
17	ri	D	5.224908519
21	ri	D	4.998881912
25	ri	D	4.811451571
29	ri	D	4.74628611
33	ri	D	4.69598612
38	ri	D	4.489899083
41	ri	D	4.365254044
48	ri	D	4.097323055
72	ri	D	3.272449705
0	ri	E	2.126560073
6	ri	E	2.271071977
10	ri	E	3.158348445
13	ri	E	4.458531784
17	ri	E	5.038628557
21	ri	E	4.683884906
25	ri	E	4.628134371
29	ri	E	4.493971088
33	ri	E	4.407165601
38	ri	E	4.312542325
41	ri	E	4.193020177
48	ri	E	3.963067694
72	ri	E	3.27342095
0	ri	F	2.17374615
6	ri	F	2.324828364
10	ri	F	3.321597404
13	ri	F	4.881824107
17	ri	F	5.229526774
21	ri	F	4.998496858
25	ri	F	4.894447177
29	ri	F	4.8222326
33	ri	F	4.768475735
38	ri	F	4.617922551
41	ri	F	4.488062305
48	ri	F	4.186692857
72	ri	F	3.404021409
