time	experiment	replicate	butyrate
0	btri	A	0.00074038
4	btri	A	0.050833553
8	btri	A	0.763466818
12	btri	A	3.341179932
16	btri	A	7.456626053
24	btri	A	9.285499051
28	btri	A	9.508277317
32	btri	A	9.548506836
38	btri	A	9.61016766
48	btri	A	9.760360437
62	btri	A	9.957367298
72	btri	A	10.08360133
96	btri	A	10.41988366
120	btri	A	10.59236124
0	btri	B	0.002632639
4	btri	B	0.036919436
8	btri	B	0.883954
12	btri	B	3.814018265
16	btri	B	8.146408692
24	btri	B	9.096020295
28	btri	B	9.081616386
32	btri	B	9.548506836
38	btri	B	9.403582998
48	btri	B	9.660287349
62	btri	B	10.02432095
72	btri	B	10.07176988
96	btri	B	10.38693602
120	btri	B	10.54767494
0	btri	C	0.008675573
4	btri	C	0.047583348
8	btri	C	0.771544671
12	btri	C	3.428519368
16	btri	C	7.899400658
24	btri	C	9.026801966
28	btri	C	9.442936045
32	btri	C	9.548506836
38	btri	C	9.451087052
48	btri	C	9.657679982
62	btri	C	9.851754245
72	btri	C	10.01901893
96	btri	C	10.34072555
120	btri	C	10.36318675
0	bhri	A	0.095943271
4	bhri	A	0.124031743
8	bhri	A	0.952427466
12	bhri	A	3.825166871
16	bhri	A	8.744734129
20	bhri	A	9.352011709
24	bhri	A	9.591057077
28	bhri	A	9.599049143
32	bhri	A	9.699691845
36	bhri	A	9.881734369
48	bhri	A	10.23878192
60	bhri	A	10.543627
72	bhri	A	10.7251927
96	bhri	A	11.03285004
120	bhri	A	11.21040087
0	bhri	B	0.101500219
4	bhri	B	0.14479388
8	bhri	B	1.353495629
12	bhri	B	5.373341864
16	bhri	B	9.183629839
20	bhri	B	9.460116368
24	bhri	B	9.608006798
28	bhri	B	9.575181355
32	bhri	B	9.604963951
36	bhri	B	9.861293459
48	bhri	B	10.21792666
60	bhri	B	10.52822443
72	bhri	B	10.76378871
96	bhri	B	11.02700505
120	bhri	B	11.29532679
0	bhri	C	0.086776948
4	bhri	C	0.145070433
8	bhri	C	1.083963111
12	bhri	C	4.266035102
16	bhri	C	9.306186182
20	bhri	C	9.61948454
24	bhri	C	9.688923365
28	bhri	C	9.630355918
32	bhri	C	9.491765832
36	bhri	C	9.851545693
48	bhri	C	10.22057629
60	bhri	C	10.48013882
72	bhri	C	10.67750215
96	bhri	C	10.98859646
120	bhri	C	11.20754177
0	bhbtri	A	0.056422125
4	bhbtri	A	0.095423311
8	bhbtri	A	0.554337091
12	bhbtri	A	1.846877311
16	bhbtri	A	5.279006729
20	bhbtri	A	8.252871573
24	bhbtri	A	8.904463363
28	bhbtri	A	8.969461029
32	bhbtri	A	9.167785355
36	bhbtri	A	9.205341358
40	bhbtri	A	9.143840026
44	bhbtri	A	9.343490452
48	bhbtri	A	9.340741601
60	bhbtri	A	9.409234865
72	bhbtri	A	9.759484883
96	bhbtri	A	10.03486985
120	bhbtri	A	10.37451198
0	bhbtri	B	0.054315034
4	bhbtri	B	0.101338349
8	bhbtri	B	0.630715859
12	bhbtri	B	1.897636669
16	bhbtri	B	5.226270485
20	bhbtri	B	8.376449548
24	bhbtri	B	8.757158167
28	bhbtri	B	8.802347012
32	bhbtri	B	8.997916055
36	bhbtri	B	9.073574708
40	bhbtri	B	9.183460792
44	bhbtri	B	9.15932106
48	bhbtri	B	9.19284474
60	bhbtri	B	9.407268958
72	bhbtri	B	9.524067596
96	bhbtri	B	9.807374805
120	bhbtri	B	10.10592197
0	ri	A	0.238370816
6	ri	A	0.329387943
10	ri	A	1.722499463
13	ri	A	5.489591099
17	ri	A	9.232293335
21	ri	A	9.56473627
25	ri	A	9.511214509
29	ri	A	9.917396862
33	ri	A	10.04613261
38	ri	A	10.25112327
41	ri	A	10.44325716
48	ri	A	10.74667362
72	ri	A	11.35847505
0	ri	B	0.243985399
6	ri	B	0.316443127
10	ri	B	1.641040039
13	ri	B	5.383638574
17	ri	B	9.232293335
21	ri	B	9.524020741
25	ri	B	9.553073862
29	ri	B	9.757880774
33	ri	B	9.918238422
38	ri	B	10.11011691
41	ri	B	10.33362649
48	ri	B	10.61476549
72	ri	B	11.27026098
0	ri	C	0.232540287
6	ri	C	0.321061832
10	ri	C	1.533656701
13	ri	C	4.989269301
17	ri	C	9.282416699
21	ri	C	9.59984201
25	ri	C	9.740612252
29	ri	C	9.763252611
33	ri	C	9.940660123
38	ri	C	10.09107799
41	ri	C	10.24892658
48	ri	C	10.5616103
72	ri	C	11.18878949
0	ri	D	0.336859374
6	ri	D	0.301532277
10	ri	D	1.414317534
13	ri	D	4.599469351
17	ri	D	9.400164389
21	ri	D	9.726407708
25	ri	D	9.708472185
29	ri	D	10.03779234
33	ri	D	10.08943254
38	ri	D	10.29642604
41	ri	D	10.46542438
48	ri	D	10.85585412
72	ri	D	11.37490385
0	ri	E	0.29350372
6	ri	E	0.304595537
10	ri	E	1.397430402
13	ri	E	4.039676072
17	ri	E	8.745201765
21	ri	E	9.522317408
25	ri	E	9.762657271
29	ri	E	9.836997542
33	ri	E	9.848882283
38	ri	E	10.16517571
41	ri	E	10.25160101
48	ri	E	10.47294789
72	ri	E	11.05616199
0	ri	F	0.332790934
6	ri	F	0.32326886
10	ri	F	1.62142553
13	ri	F	4.986786422
17	ri	F	9.278329252
21	ri	F	9.526966201
25	ri	F	9.628597462
29	ri	F	9.827542851
33	ri	F	9.884182795
38	ri	F	10.17937842
41	ri	F	10.28431529
48	ri	F	10.48526719
72	ri	F	11.07946016
