time	experiment	replicate	dead
0	btri	A	0.00195
4	btri	A	0.00836
8	btri	A	0.056
12	btri	A	0.09085
16	btri	A	0.04975
24	btri	A	0.10575
28	btri	A	0.229
32	btri	A	0.64895
38	btri	A	1.406
48	btri	A	2.28855
62	btri	A	2.03225
72	btri	A	2.7141
96	btri	A	4.1407
120	btri	A	4.67365
0	btri	B	0.00243
4	btri	B	0.00972
8	btri	B	0.0691
12	btri	B	0.09135
16	btri	B	0.07485
24	btri	B	0.19275
28	btri	B	0.29585
32	btri	B	0.88825
38	btri	B	1.82145
48	btri	B	2.21065
62	btri	B	2.3334
72	btri	B	3.0399
96	btri	B	2.9364
120	btri	B	4.65035
0	btri	C	0.00253
4	btri	C	0.01519
8	btri	C	0.0756
12	btri	C	0.07035
16	btri	C	0.06495
24	btri	C	0.1536
28	btri	C	0.3265
32	btri	C	0.7902
38	btri	C	1.22525
48	btri	C	2.5384
62	btri	C	2.04675
72	btri	C	2.4819
96	btri	C	3.80495
120	btri	C	4.94305
0	bhri	A	0.00575
4	bhri	A	0.00813
8	bhri	A	0.14046
12	bhri	A	0.1202
16	bhri	A	0.0706
20	bhri	A	0.0955
24	bhri	A	0.1769
28	bhri	A	0.3205
32	bhri	A	0.7816
36	bhri	A	1.4175
48	bhri	A	2.2124
60	bhri	A	2.5293
72	bhri	A	1.7699
96	bhri	A	3.744
120	bhri	A	3.7461
0	bhri	B	0.00273
4	bhri	B	0.00639
8	bhri	B	0.13844
12	bhri	B	0.0793
16	bhri	B	0.0958
20	bhri	B	0.1599
24	bhri	B	0.3154
28	bhri	B	0.7565
32	bhri	B	1.0597
36	bhri	B	1.3373
48	bhri	B	1.611
60	bhri	B	1.7366
72	bhri	B	2.1229
96	bhri	B	4.0348
120	bhri	B	3.7415
0	bhri	C	0.0067
4	bhri	C	0.01191
8	bhri	C	0.17198
12	bhri	C	0.1262
16	bhri	C	0.1206
20	bhri	C	0.1325
24	bhri	C	0.2495
28	bhri	C	0.4422
32	bhri	C	0.9797
36	bhri	C	1.6552
48	bhri	C	2.3432
60	bhri	C	2.5534
72	bhri	C	2.0525
96	bhri	C	4.097
120	bhri	C	3.1567
0	bhbtri	A	0.00093
4	bhbtri	A	0.00253
8	bhbtri	A	0.0202
12	bhbtri	A	0.1427
16	bhbtri	A	0.0487
20	bhbtri	A	0.0286
24	bhbtri	A	0.0257
28	bhbtri	A	0.2171
32	bhbtri	A	0.3967
36	bhbtri	A	0.8206
40	bhbtri	A	1.1542
44	bhbtri	A	1.2227
48	bhbtri	A	1.5047
60	bhbtri	A	1.1315
72	bhbtri	A	1.6646
96	bhbtri	A	2.0859
120	bhbtri	A	2.2494
0	bhbtri	B	0.00086
4	bhbtri	B	0.00272
8	bhbtri	B	0.024
12	bhbtri	B	0.132
16	bhbtri	B	0.0492
20	bhbtri	B	0.0184
24	bhbtri	B	0.0676
28	bhbtri	B	0.3111
32	bhbtri	B	0.585
36	bhbtri	B	0.8348
40	bhbtri	B	1.0351
44	bhbtri	B	1.2997
48	bhbtri	B	1.5062
60	bhbtri	B	1.5087
72	bhbtri	B	1.6548
96	bhbtri	B	2.2167
120	bhbtri	B	2.1996
