time	experiment	replicate	glucose
0	btri	A	7.369817563
4	btri	A	7.325673976
8	btri	A	6.315179315
12	btri	A	2.73548402
16	btri	A	0.093568614
24	btri	A	0.111980096
28	btri	A	0.111473402
32	btri	A	0.10024495
38	btri	A	0.23587334
48	btri	A	0.226487915
62	btri	A	0.216680215
72	btri	A	0.215606655
96	btri	A	0.208264796
120	btri	A	0.204310096
0	btri	B	7.381174368
4	btri	B	7.238792714
8	btri	B	6.193636315
12	btri	B	1.893951035
16	btri	B	0.10065042
24	btri	B	0.114294666
28	btri	B	0.108930803
32	btri	B	0.10024495
38	btri	B	0.241710371
48	btri	B	0.226457459
62	btri	B	0.218345819
72	btri	B	0.210643813
96	btri	B	0.207724328
120	btri	B	0.205481525
0	btri	C	7.372204147
4	btri	C	7.339961844
8	btri	C	6.511912783
12	btri	C	2.474313245
16	btri	C	0.090574586
24	btri	C	0.106670539
28	btri	C	0.108422616
32	btri	C	0.10024495
38	btri	C	0.23295912
48	btri	C	0.226475235
62	btri	C	0.217303552
72	btri	C	0.211744102
96	btri	C	0.205147975
120	btri	C	0.185200088
0	bhri	A	8.805267709
4	bhri	A	8.69324306
8	bhri	A	7.839775635
12	bhri	A	3.738071867
16	bhri	A	0.210320757
20	bhri	A	0.213456684
24	bhri	A	0.246026929
28	bhri	A	0.204207569
32	bhri	A	0.219729033
36	bhri	A	0.244137943
48	bhri	A	0.252617544
60	bhri	A	0.240172426
72	bhri	A	0.233878709
96	bhri	A	0.237631016
120	bhri	A	0.19265725
0	bhri	B	8.802381664
4	bhri	B	8.699832173
8	bhri	B	7.334543818
12	bhri	B	1.427900742
16	bhri	B	0.223546301
20	bhri	B	0.228029149
24	bhri	B	0.23497185
28	bhri	B	0.229751882
32	bhri	B	0.233357803
36	bhri	B	0.267678709
48	bhri	B	0.273686518
60	bhri	B	0.239350954
72	bhri	B	0.236855589
96	bhri	B	0.230959395
120	bhri	B	0.194302988
0	bhri	C	8.824726002
4	bhri	C	8.771398052
8	bhri	C	7.728147027
12	bhri	C	3.041805668
16	bhri	C	0.209200886
20	bhri	C	0.216774833
24	bhri	C	0.242502091
28	bhri	C	0.205939333
32	bhri	C	0.221272947
36	bhri	C	0.253621617
48	bhri	C	0.254248776
60	bhri	C	0.236023775
72	bhri	C	0.246648042
96	bhri	C	0.201505723
120	bhri	C	0.1877157
0	bhbtri	A	8.932842566
4	bhbtri	A	8.821853949
8	bhbtri	A	8.300972153
12	bhbtri	A	6.632669786
16	bhbtri	A	1.293481414
20	bhbtri	A	0.104011401
24	bhbtri	A	0.138081873
28	bhbtri	A	0.237534268
32	bhbtri	A	0.268033077
36	bhbtri	A	0.302789471
40	bhbtri	A	0.380534754
44	bhbtri	A	0.308483748
48	bhbtri	A	0.315030048
60	bhbtri	A	0.383204337
72	bhbtri	A	0.293558988
96	bhbtri	A	0.243876844
120	bhbtri	A	0.293307755
0	bhbtri	B	8.940662385
4	bhbtri	B	8.851184656
8	bhbtri	B	8.139210684
12	bhbtri	B	6.412057704
16	bhbtri	B	1.04651889
20	bhbtri	B	0.111329364
24	bhbtri	B	0.154034434
28	bhbtri	B	0.287131413
32	bhbtri	B	0.256666595
36	bhbtri	B	0.287602471
40	bhbtri	B	0.302268205
44	bhbtri	B	0.312943688
48	bhbtri	B	0.310294674
60	bhbtri	B	0.29764302
72	bhbtri	B	0.345203861
96	bhbtri	B	0.250745497
120	bhbtri	B	0.225082782
0	ri	A	6.694132683
6	ri	A	6.655028116
10	ri	A	5.70623422
13	ri	A	1.186424531
17	ri	A	0
21	ri	A	0
25	ri	A	0
29	ri	A	0
33	ri	A	0
38	ri	A	0
41	ri	A	0.144083665
48	ri	A	0.135938271
72	ri	A	0.117470497
0	ri	B	6.671424548
6	ri	B	6.592384398
10	ri	B	5.683712242
13	ri	B	1.224389875
17	ri	B	0
21	ri	B	0
25	ri	B	0
29	ri	B	0
33	ri	B	0
38	ri	B	0
41	ri	B	0.140229116
48	ri	B	0.131589984
72	ri	B	0
0	ri	C	6.781786558
6	ri	C	6.573685334
10	ri	C	5.779013162
13	ri	C	1.658870555
17	ri	C	0
21	ri	C	0
25	ri	C	0
29	ri	C	0
33	ri	C	0
38	ri	C	0
41	ri	C	0.152180809
48	ri	C	0.150161644
72	ri	C	0
0	ri	D	7.032006758
6	ri	D	7.046079267
10	ri	D	6.218356286
13	ri	D	2.296114128
17	ri	D	0
21	ri	D	0
25	ri	D	0
29	ri	D	0
33	ri	D	0
38	ri	D	0
41	ri	D	0.144731518
48	ri	D	0.149535873
72	ri	D	0
0	ri	E	6.795348048
6	ri	E	6.763470151
10	ri	E	6.140722656
13	ri	E	2.880846926
17	ri	E	0
21	ri	E	0
25	ri	E	0
29	ri	E	0
33	ri	E	0
38	ri	E	0
41	ri	E	0.150016313
48	ri	E	0.145072264
72	ri	E	0.124524661
0	ri	F	6.83538766
6	ri	F	6.770681613
10	ri	F	5.854011999
13	ri	F	1.733608558
17	ri	F	0
21	ri	F	0
25	ri	F	0
29	ri	F	0
33	ri	F	0
38	ri	F	0
41	ri	F	0.157609348
48	ri	F	0.148216575
72	ri	F	0
