time	experiment	replicate	lactate
0	btri	A	0.383381579
4	btri	A	0.380339465
8	btri	A	0.597933504
12	btri	A	1.154429951
16	btri	A	2.16594405
24	btri	A	2.231833481
28	btri	A	2.130522425
32	btri	A	1.552092473
38	btri	A	1.240510213
48	btri	A	0.745138766
62	btri	A	0.311348024
72	btri	A	0.35375
96	btri	A	0.408356128
120	btri	A	0.238665853
0	btri	B	0.388300133
4	btri	B	0.372565798
8	btri	B	0.631673068
12	btri	B	1.315384658
16	btri	B	2.394539187
24	btri	B	2.192904529
28	btri	B	2.024307504
32	btri	B	1.504165409
38	btri	B	1.054669072
48	btri	B	0.507194161
62	btri	B	0.35002742
72	btri	B	0.32631905
96	btri	B	0.369230018
120	btri	B	0.366326488
0	btri	C	0.383741141
4	btri	C	0.373473452
8	btri	C	0.621167185
12	btri	C	1.214221359
16	btri	C	2.327009547
24	btri	C	2.260219694
28	btri	C	2.044521203
32	btri	C	1.789764876
38	btri	C	1.301933726
48	btri	C	0.6887248
62	btri	C	0.399374778
72	btri	C	0.399071603
96	btri	C	0.288948268
120	btri	C	0.23970504
0	bhri	A	0.614348887
4	bhri	A	0.645593086
8	bhri	A	0.770863523
12	bhri	A	1.529822491
16	bhri	A	2.392720322
20	bhri	A	2.386194647
24	bhri	A	2.397852135
28	bhri	A	2.339967751
32	bhri	A	2.367039815
36	bhri	A	2.413621575
48	bhri	A	2.396389559
60	bhri	A	2.440821842
72	bhri	A	2.434176726
96	bhri	A	2.71465625
120	bhri	A	2.43226982
0	bhri	B	0.623073096
4	bhri	B	0.627852696
8	bhri	B	0.845946778
12	bhri	B	1.85944311
16	bhri	B	2.154490401
20	bhri	B	2.175253305
24	bhri	B	2.169391473
28	bhri	B	2.164815591
32	bhri	B	2.160853517
36	bhri	B	2.191382683
48	bhri	B	2.184152813
60	bhri	B	2.20925779
72	bhri	B	2.218824599
96	bhri	B	2.213248457
120	bhri	B	2.531382563
0	bhri	C	0.660105629
4	bhri	C	0.63084143
8	bhri	C	0.781016412
12	bhri	C	1.659402028
16	bhri	C	2.350521447
20	bhri	C	2.346032264
24	bhri	C	2.316856378
28	bhri	C	2.336069778
32	bhri	C	2.324335967
36	bhri	C	2.357712349
48	bhri	C	2.383349737
60	bhri	C	2.37745424
72	bhri	C	2.382395593
96	bhri	C	2.385206146
120	bhri	C	2.689323689
0	bhbtri	A	0.28054279
4	bhbtri	A	0.286227564
8	bhbtri	A	0.309146402
12	bhbtri	A	0.971717692
16	bhbtri	A	2.622806119
20	bhbtri	A	2.807630002
24	bhbtri	A	2.913186334
28	bhbtri	A	2.819160746
32	bhbtri	A	3.072892558
36	bhbtri	A	3.03222013
40	bhbtri	A	3.211140214
44	bhbtri	A	3.062047407
48	bhbtri	A	3.109660787
60	bhbtri	A	3.786079041
72	bhbtri	A	3.175343654
96	bhbtri	A	3.008666963
120	bhbtri	A	3.329216638
0	bhbtri	B	0.278663525
4	bhbtri	B	0.281812369
8	bhbtri	B	0.330788051
12	bhbtri	B	1.02005452
16	bhbtri	B	2.790896272
20	bhbtri	B	2.864825179
24	bhbtri	B	2.927174996
28	bhbtri	B	3.065063177
32	bhbtri	B	3.124315598
36	bhbtri	B	3.160269646
40	bhbtri	B	3.138059153
44	bhbtri	B	3.127897445
48	bhbtri	B	3.189163531
60	bhbtri	B	3.209817832
72	bhbtri	B	3.16071951
96	bhbtri	B	3.088193919
120	bhbtri	B	3.07065938
0	ri	A	2.11016228
6	ri	A	2.339349199
10	ri	A	3.295986301
13	ri	A	5.076181112
17	ri	A	5.109056579
21	ri	A	4.920853739
25	ri	A	4.666188214
29	ri	A	4.628102323
33	ri	A	4.555549568
38	ri	A	4.22435495
41	ri	A	4.138005309
48	ri	A	3.797380459
72	ri	A	3.036863239
0	ri	B	2.133360459
6	ri	B	2.341784844
10	ri	B	3.341928486
13	ri	B	5.092742733
17	ri	B	5.109056579
21	ri	B	4.901863649
25	ri	B	4.762862081
29	ri	B	4.641154931
33	ri	B	4.566432481
38	ri	B	4.356682411
41	ri	B	4.206638646
48	ri	B	3.885529329
72	ri	B	3.080465684
0	ri	C	2.152351506
6	ri	C	2.311864247
10	ri	C	3.327735784
13	ri	C	5.039805243
17	ri	C	5.179218652
21	ri	C	5.020969174
25	ri	C	4.913270331
29	ri	C	4.710353651
33	ri	C	4.714738003
38	ri	C	4.494922003
41	ri	C	4.357486002
48	ri	C	4.074489123
72	ri	C	3.191088306
0	ri	D	2.107076349
6	ri	D	2.231554212
10	ri	D	3.228045822
13	ri	D	4.920494993
17	ri	D	5.224908519
21	ri	D	4.998881912
25	ri	D	4.811451571
29	ri	D	4.74628611
33	ri	D	4.69598612
38	ri	D	4.489899083
41	ri	D	4.365254044
48	ri	D	4.097323055
72	ri	D	3.272449705
0	ri	E	2.126560073
6	ri	E	2.271071977
10	ri	E	3.158348445
13	ri	E	4.458531784
17	ri	E	5.038628557
21	ri	E	4.683884906
25	ri	E	4.628134371
29	ri	E	4.493971088
33	ri	E	4.407165601
38	ri	E	4.312542325
41	ri	E	4.193020177
48	ri	E	3.963067694
72	ri	E	3.27342095
0	ri	F	2.17374615
6	ri	F	2.324828364
10	ri	F	3.321597404
13	ri	F	4.881824107
17	ri	F	5.229526774
21	ri	F	4.998496858
25	ri	F	4.894447177
29	ri	F	4.8222326
33	ri	F	4.768475735
38	ri	F	4.617922551
41	ri	F	4.488062305
48	ri	F	4.186692857
72	ri	F	3.404021409
