time	experiment	replicate	pH
0	ri	A	6.56
6	ri	A	6.64
10	ri	A	6.26
13	ri	A	5.8
17	ri	A	5.92
21	ri	A	5.88
25	ri	A	5.93
29	ri	A	5.93
33	ri	A	6.05
38	ri	A	6.01
41	ri	A	5.89
48	ri	A	6.01
72	ri	A	6.1
0	ri	B	6.56
6	ri	B	6.64
10	ri	B	6.26
13	ri	B	5.8
17	ri	B	5.88
21	ri	B	5.83
25	ri	B	5.93
29	ri	B	5.93
33	ri	B	6
38	ri	B	5.93
41	ri	B	5.93
48	ri	B	6.01
72	ri	B	6.05
0	ri	C	6.56
6	ri	C	6.68
10	ri	C	6.31
13	ri	C	5.84
17	ri	C	5.88
21	ri	C	5.88
25	ri	C	5.93
29	ri	C	5.96
33	ri	C	6
38	ri	C	5.97
41	ri	C	5.89
48	ri	C	6.01
72	ri	C	6.05
0	ri	D	6.6
6	ri	D	6.68
10	ri	D	6.34
13	ri	D	5.92
17	ri	D	5.88
21	ri	D	5.79
25	ri	D	5.89
29	ri	D	5.93
33	ri	D	6
38	ri	D	5.97
41	ri	D	5.93
48	ri	D	5.96
72	ri	D	6.01
0	ri	E	6.6
6	ri	E	6.6
10	ri	E	6.34
13	ri	E	6
17	ri	E	5.88
21	ri	E	5.83
25	ri	E	5.97
29	ri	E	6.01
33	ri	E	6
38	ri	E	5.97
41	ri	E	5.93
48	ri	E	5.97
72	ri	E	6.05
0	ri	F	6.6
6	ri	F	6.64
10	ri	F	6.34
13	ri	F	5.89
17	ri	F	5.88
21	ri	F	5.88
25	ri	F	5.97
29	ri	F	5.97
33	ri	F	6
38	ri	F	5.97
41	ri	F	6.01
48	ri	F	6
72	ri	F	6.05
0	btri	A	6.64
4	btri	A	6.65
8	btri	A	6.4
12	btri	A	5.97
16	btri	A	5.68
24	btri	A	5.85
28	btri	A	5.81
32	btri	A	5.81
38	btri	A	5.77
48	btri	A	5.8
62	btri	A	5.81
72	btri	A	5.76
96	btri	A	5.89
120	btri	A	5.8
0	btri	B	6.64
4	btri	B	6.65
8	btri	B	6.44
12	btri	B	5.89
16	btri	B	5.76
24	btri	B	5.85
28	btri	B	5.8
32	btri	B	5.77
38	btri	B	5.78
48	btri	B	5.85
62	btri	B	5.85
72	btri	B	5.8
96	btri	B	6.02
120	btri	B	5.8
0	btri	C	6.69
4	btri	C	6.65
8	btri	C	6.52
12	btri	C	5.93
16	btri	C	5.8
24	btri	C	5.85
28	btri	C	5.77
32	btri	C	5.81
38	btri	C	5.8
48	btri	C	5.8
62	btri	C	5.85
72	btri	C	5.8
96	btri	C	5.89
120	btri	C	5.8
0	bhri	A	6.61
4	bhri	A	6.69
8	bhri	A	6.35
12	bhri	A	5.97
16	bhri	A	5.8
20	bhri	A	5.92
24	bhri	A	5.92
28	bhri	A	5.97
32	bhri	A	5.97
36	bhri	A	5.85
48	bhri	A	5.85
60	bhri	A	5.89
72	bhri	A	5.97
96	bhri	A	5.98
120	bhri	A	5.89
0	bhri	B	6.57
4	bhri	B	6.65
8	bhri	B	6.31
12	bhri	B	5.71
16	bhri	B	5.85
20	bhri	B	5.93
24	bhri	B	5.92
28	bhri	B	5.93
32	bhri	B	5.97
36	bhri	B	5.85
48	bhri	B	5.85
60	bhri	B	5.93
72	bhri	B	5.98
96	bhri	B	5.94
120	bhri	B	5.98
0	bhri	C	6.57
4	bhri	C	6.69
8	bhri	C	6.31
12	bhri	C	5.84
16	bhri	C	5.85
20	bhri	C	5.89
24	bhri	C	5.92
28	bhri	C	5.94
32	bhri	C	5.97
36	bhri	C	5.85
48	bhri	C	5.85
60	bhri	C	5.93
72	bhri	C	5.98
96	bhri	C	5.98
120	bhri	C	5.98
0	bhbtri	A	6.65
4	bhbtri	A	6.61
8	bhbtri	A	6.35
12	bhbtri	A	6.23
16	bhbtri	A	5.68
20	bhbtri	A	5.76
24	bhbtri	A	5.76
28	bhbtri	A	5.72
32	bhbtri	A	5.88
36	bhbtri	A	5.88
40	bhbtri	A	5.85
44	bhbtri	A	5.8
48	bhbtri	A	5.89
60	bhbtri	A	5.89
72	bhbtri	A	5.97
96	bhbtri	A	5.92
120	bhbtri	A	5.92
0	bhbtri	B	6.65
4	bhbtri	B	6.57
8	bhbtri	B	6.4
12	bhbtri	B	6.23
16	bhbtri	B	5.68
20	bhbtri	B	5.76
24	bhbtri	B	5.76
28	bhbtri	B	5.72
32	bhbtri	B	5.88
36	bhbtri	B	5.88
40	bhbtri	B	5.89
44	bhbtri	B	5.85
48	bhbtri	B	5.89
60	bhbtri	B	5.89
72	bhbtri	B	5.93
96	bhbtri	B	5.97
120	bhbtri	B	5.97
