id	feedingTerm	metabolite	yield	monodK
1	xa_trehalose	trehalose	1.2417775764	0.2876080490
2	xa_trehalose	lactate	-2.9999999999	0
3	xa_trehalose	acetate	-1.5969447986e-12	0
4	xa_pyruvate	pyruvate	1.0000000000	2.3916509762
5	xa_pyruvate	acetate	-1.8699494242	0
6	xb_glucose_glutamate	glucose	3.7638796806	0.1039681099
7	xb_glucose_glutamate	glutamate	0.5000000000	1.2700484896
8	xb_glucose_glutamate	acetate	-2.9999999999	0
9	xb_pyruvate	pyruvate	10.0000000000	0.5000000000
10	xb_pyruvate	acetate	-4.9999999999	0
