id	feedingTerm	metabolite	yield	monodK
1	xa_trehalose	trehalose	1.2417775764	0.2876080490
2	xa_trehalose	lactate	-2.9999999999	0
3	xa_trehalose	acetate	-0.0000000001	0
4	xa_pyruvate	pyruvate	1.0000000000	2.3916509762
5	xa_pyruvate	acetate	-1.8699494242	0
6	xb_glucose_glutamate	glucose	3.7638796806	0.1039681099
7	xb_glucose_glutamate	glutamate	0.5000000000	1.2700484896
8	xb_glucose_glutamate	acetate	-2.9999999999	0
9	xb_pyruvate	pyruvate	10.0000000000	0.5000000000
10	xb_pyruvate	acetate	-4.9999999999	0
11	xe_pyruvate	pyruvate	2.9010309178	9.9999999149
12	xe_pyruvate	acetate	-0.2602947550	0
13	xe_pyruvate	lactate	-1.7181885318	0
14	xe_pyruvate	formate	-0.6158861983	0
15	xe_glucose	glucose	1.0269754623	0.3530205777
16	xe_glucose	acetate	-0.9965936487	0
17	xe_glucose	succinate	-0.6252715462	0
18	xf_mannose	mannose	0.4040233680	0.1059821090
19	xf_mannose	acetate	-0.853241631	0
20	xf_mannose	succinate	-2.0255236699	0
21	xi_pyruvate	pyruvate	2.7837513180	0.5475232775
22	xi_pyruvate	acetate	-0.3051280298	0
23	xi_pyruvate	butyrate	-1.9948315995	0
24	xi_glucose	glucose	1.7594802851	6.8653726711
25	xi_glucose	acetate	-0.7276644727	0
26	xi_glucose	lactate	-0.3774439538	0
27	xi_glucose	butyrate	-6.8651750950e-12	0
28	xj_lactate	lactate	1.9604511472	9.9994578496
29	xj_lactate	butyrate	-2.9881962700	0
30	xj_acetate	acetate	0.8533874512	0.2756122752
31	xj_acetate	butyrate	-1.9947949958e-09	0.5
