id	species	mumax	pHoptimal	pHalpha	count	color	state
xa	bh	0.1927934811	6.8180188470	46.2739563004	0.0067733333	#FF10F0	active
xb	bh	0.9781040980	6.5395960604	62.5189011214	0	#FF10F0	active
xc	bh	0	7	0	0	#FF10F0	inactive
xd	bh	0	7	0	0	#FF10F0	dead
xe	bt	0.921545925347679	7.50781204646088	59.8234299511971	0.00681333333333333	#ff8300	active
xf	bt	1.19650735112007	6.98409464439697	71.8163993347422	0	#ff8300	active
xg	bt	0	7	0	0	#ff8300	inactive
xh	bt	0	7	0	0	#ff8300	dead
xi	ri	0.70596681409	7.7682760382	39.5255968898	0.004	#00B8FF	active
xj	ri	0.01534519446	7.6243042258	19.9999998098	0	#00B8FF	active
xk	ri	0	7	100	0	#00B8FF	inactive
xl	ri	0	7	100	0	#00B8FF	dead
